accession,message,sample_name,sample_title,bioproject_accession,organism,isolate,geographic_location,collection_date,depth,env_broad_scale,env_local_scale,env_medium,geo_loc_me,isolation_source,lat_lon,chlorophyll,collection_method,conduc,diss_oxygen,nitrate,nitrite,ph,samp_collect_device,samp_store_temp,silicate,size_frac,soluble_react_phosp,source_material_id,sulfate,sulfide,suspend_part_matter,temp,tidal_stage,tot_depth_water_col,tot_diss_nitro,tot_nitro,tot_phosp,turbidity,water_current,description,completeness(%),contamition_(%),strain_heterogeneity_(%),size_(mbp),no._of_contigs,gc_content_(%),n50,file,derived_from
SAMN41711501,Successfully loaded,Dolichospermum sp._LV_40_31. South Rosinga_2023_1,LV_40_samp_4449_31. South Rosinga_2023,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2023-06-03T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3742_34.23967,,Van dorn collection,143.1(uS/cm),6.7mg/L,24.5 (ug/L),,8.7,Van dorn,-80 degree C,,0.22 micron,20.3(ug/L),,,,,28.8degree C,,6.8m,280(ug/L),832 (ug/L),120 (ug/L),23.7NTU,,Ndere Island,98.59,3.41,47.37,5.05748,2317,37,4958,samp_4449_VAMB_517,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659709  (SRA SUB14491329)
SAMN41711502,Successfully loaded,Dolichospermum sp._LV_40_31. South Rosinga_2023_2,LV_40_samp_4449_31. South Rosinga_2023,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2023-06-03T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3742_34.23967,,Van dorn collection,143.1(uS/cm),6.7mg/L,24.5 (ug/L),,8.7,Van dorn,-80 degree C,,0.22 micron,20.3(ug/L),,,,,28.8degree C,,6.8m,280(ug/L),832 (ug/L),120 (ug/L),23.7NTU,,Ndere Island,97.81,1.3,37.5,4.358347,1056,37.1,5954,samp_4449_concoct_1603,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659709  (SRA SUB14491329)
SAMN41711503,Successfully loaded,Dolichospermum sp._LV_40_31. South Rosinga_2023_3,LV_40_samp_4449_31. South Rosinga_2023,PRJNA1119566,Dolichospermum sp.,not_applicable,Kenya:Lake Victoria,2023-06-03T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.3742_34.23967,,Van dorn collection,143.1(uS/cm),6.7mg/L,24.5 (ug/L),,8.7,Van dorn,-80 degree C,,0.22 micron,20.3(ug/L),,,,,28.8degree C,,6.8m,280(ug/L),832 (ug/L),120 (ug/L),23.7NTU,,Ndere Island,91.48,0.52,50,3.822958,687,37.1,6754,samp_4449_maxbin_169,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659709  (SRA SUB14491329)
SAMN41711504,Successfully loaded,Sphaerospermopsis kisseleviana_A_LV_36_27. Bridge Island_2023,LV_36_samp_4445_27. Bridge Island_2023,PRJNA1119566,Sphaerospermopsis kisselevia,not_applicable,Kenya:Lake Victoria,2023-06-01T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.4055_34.10967,,Van dorn collection,85(uS/cm),10.98mg/L,7.62 (ug/L),,7.8,Van dorn,-80 degree C,,0.22 micron,20.95(ug/L),,,,,26.1degree C,,44.3m,236.5(ug/L),361 (ug/L),44.4 (ug/L),5.3NTU,,Bridge Island,89.96,7.53,77.55,6.110041,1452,37.5,6049,samp_4445_VAMB_547,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659705  (SRA SUB14491329)
SAMN41711505,Successfully loaded,Limnocylindrus sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Limnocylindrus sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,82.87,13.05,78.26,1.214587,514,62.7,2700,samp_4307_concoct_238,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711506,Successfully loaded,BACL27 sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,BACL27 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,76.09,23.6,94.74,2.066197,914,49.9,2591,samp_4307_concoct_256,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711507,Successfully loaded,UBA2093 sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,UBA2093 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,78.17,3.99,14.29,1.71615,633,67.2,3119,samp_4307_concoct_257,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711508,Successfully loaded,UBA1268 bacterium_LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,UBA1268 bacterium,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,84.38,16.03,66.67,3.88081,1494,69.1,3065,samp_4307_concoct_272,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711509,Successfully loaded,UBA966 sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,UBA966 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,78.9,2.04,100,2.418559,787,72.3,4304,samp_4307_concoct_278,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711510,Successfully loaded,Methylocystis sp002412985_LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Methylocystis sp002412985,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,87.23,4.78,68.18,2.116138,731,48.7,3412,samp_4307_concoct_325,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711511,Successfully loaded,Polynucleobacter victoriensis_LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,Polynucleobacter victoriensis,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,86.04,8.46,71.11,1.45358,567,43.5,3011,samp_4307_concoct_340,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711512,Successfully loaded,UBA953 sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,UBA953 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,76.5,3.39,33.33,1.907507,390,68.3,5849,samp_4307_metabat2_34,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711513,Successfully loaded,UBA3006 sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,UBA3006 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,76.53,5.24,33.33,1.112442,331,63.1,3438,samp_4307_metabat2_85,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711514,Successfully loaded,F1-60-MAGs163 sp._LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,F1-60-MAGs163 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,78.91,3.62,75,1.316075,204,71.3,7415,samp_4307_metadecoder_485,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711515,Successfully loaded,BACL27 sp016870935_LV_1_7. Asembo Bay_2022,LV_1_samp_4307_7. Asembo Bay_2022,PRJNA1119566,BACL27 sp016870935,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5 degree C,,5.4 m,,,,10.1 NTU,,Site 16 Nearshore R1,79.69,6.46,38.46,1.525001,1251,58.6,1582,samp_4307_VAMB_559,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659670  (SRA SUB14491329)
SAMN41711516,Successfully loaded,Methylocystis sp002412985_LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Methylocystis sp002412985,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,98.25,14.67,71.43,2.303376,832,48.2,3400,samp_4308_concoct_165,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711517,Successfully loaded,F1-60-MAGs163 sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,F1-60-MAGs163 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,85.25,5.56,63.64,1.841471,697,71.1,3102,samp_4308_concoct_171,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711518,Successfully loaded,BACL27 sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,BACL27 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,81.28,23.19,86.84,2.062135,852,50,2736,samp_4308_concoct_179,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711519,Successfully loaded,UBA953 sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,UBA953 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,76.1,12.86,30,2.058972,1030,68.5,2152,samp_4308_concoct_231,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711520,Successfully loaded,F1-60-MAGs149 sp016870485_LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,F1-60-MAGs149 sp016870485,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,75.32,2.46,42.86,1.910159,800,74.3,2718,samp_4308_concoct_266,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711521,Successfully loaded,UBA2093 sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,UBA2093 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,86.15,14.89,37.5,2.198382,769,68.4,3643,samp_4308_concoct_271,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711522,Successfully loaded,UBA966 sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,UBA966 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,79.62,3.51,33.33,2.238335,1080,72.3,2225,samp_4308_concoct_276,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711523,Successfully loaded,Limnocylindrus sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Limnocylindrus sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,77.63,7.36,83.33,1.130483,466,62.7,2793,samp_4308_concoct_282,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711524,Successfully loaded,Polynucleobacter victoriensis_LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Polynucleobacter victoriensis,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,83.33,10.59,68.85,1.334348,433,43.4,3532,samp_4308_concoct_296,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711525,Successfully loaded,Planktophila sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,Planktophila sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,80.98,0.84,83.33,1.23669,184,48.1,8438,samp_4308_semibin_103,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711526,Successfully loaded,UBA3006 sp._LV_2_7. Asembo Bay_2022,LV_2_samp_4308_7. Asembo Bay_2022,PRJNA1119566,UBA3006 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.1961_34.38861,151.07 (ug/L),Van dorn collection,146.4(uS/cm),5.61mg/L,34.9 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,43(ug/L),,,,,25.5degree C,,5.4m,,,,10.1NTU,,Site 16 Nearshore R2,76.35,24.03,46.51,1.762043,988,63.1,2251,samp_4308_VAMB_734,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659671  (SRA SUB14491329)
SAMN41711527,Successfully loaded,UBA966 sp._LV_3_8. Ndere Island_2022,LV_3_samp_4309_8. Ndere Island_2022,PRJNA1119566,UBA966 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2331_34.49639,144.37 (ug/L),Van dorn collection,140.02(uS/cm),6.9mg/L,26.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,37.8(ug/L),,,,,24.8degree C,,6.8m,,,,14.1NTU,,Site 17 Mid-shore R1,75.8,5.11,33.33,2.342216,1091,72.2,2314,samp_4309_concoct_462,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659672  (SRA SUB14491329)
SAMN41711528,Successfully loaded,NIES-981 sp._LV_3_8. Ndere Island_2022,LV_3_samp_4309_8. Ndere Island_2022,PRJNA1119566,NIES-981 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2331_34.49639,144.37 (ug/L),Van dorn collection,140.02(uS/cm),6.9mg/L,26.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,37.8(ug/L),,,,,24.8degree C,,6.8m,,,,14.1NTU,,Site 17 Mid-shore R1,80.57,22.25,42.62,3.912325,2259,67.4,1716,samp_4309_concoct_472,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659672  (SRA SUB14491329)
SAMN41711529,Successfully loaded,VGZA01 sp._LV_3_8. Ndere Island_2022,LV_3_samp_4309_8. Ndere Island_2022,PRJNA1119566,VGZA01 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2331_34.49639,144.37 (ug/L),Van dorn collection,140.02(uS/cm),6.9mg/L,26.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,37.8(ug/L),,,,,24.8degree C,,6.8m,,,,14.1NTU,,Site 17 Mid-shore R1,83.79,3.45,33.33,4.630634,1507,58,3651,samp_4309_concoct_483,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659672  (SRA SUB14491329)
SAMN41711530,Successfully loaded,F1-60-MAGs163 sp._LV_3_8. Ndere Island_2022,LV_3_samp_4309_8. Ndere Island_2022,PRJNA1119566,F1-60-MAGs163 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2331_34.49639,144.37 (ug/L),Van dorn collection,140.02(uS/cm),6.9mg/L,26.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,37.8(ug/L),,,,,24.8degree C,,6.8m,,,,14.1NTU,,Site 17 Mid-shore R1,84.27,6.17,64.29,1.842383,763,71.1,2683,samp_4309_concoct_498,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659672  (SRA SUB14491329)
SAMN41711531,Successfully loaded,67-14 sp._LV_3_8. Ndere Island_2022,LV_3_samp_4309_8. Ndere Island_2022,PRJNA1119566,67-14 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2331_34.49639,144.37 (ug/L),Van dorn collection,140.02(uS/cm),6.9mg/L,26.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,37.8(ug/L),,,,,24.8degree C,,6.8m,,,,14.1NTU,,Site 17 Mid-shore R1,84.52,4.07,12.5,1.536476,536,66.8,3540,samp_4309_concoct_531,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659672  (SRA SUB14491329)
SAMN41711532,Successfully loaded,ATZT02 sp._LV_3_8. Ndere Island_2022,LV_3_samp_4309_8. Ndere Island_2022,PRJNA1119566,ATZT02 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2331_34.49639,144.37 (ug/L),Van dorn collection,140.02(uS/cm),6.9mg/L,26.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,37.8(ug/L),,,,,24.8degree C,,6.8m,,,,14.1NTU,,Site 17 Mid-shore R1,77.73,4.66,64.29,1.266327,369,35.4,4793,samp_4309_concoct_600,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659672  (SRA SUB14491329)
SAMN41711533,Successfully loaded,SYHX01 sp._LV_3_8. Ndere Island_2022,LV_3_samp_4309_8. Ndere Island_2022,PRJNA1119566,SYHX01 sp.,not_applicable,Kenya:Lake Victoria,2022-06-25T00:00:00,1m,large freshwater lake biome [ENVO:00000891],Lake [ENVO:00000020],water [ENVO:00002006],Lake Victoria,lake water,-0.2331_34.49639,144.37 (ug/L),Van dorn collection,140.02(uS/cm),6.9mg/L,26.1 (ug/L),,7.1,Van dorn,-80 degree C,,0.22 micron,37.8(ug/L),,,,,24.8degree C,,6.8m,,,,14.1NTU,,Site 17 Mid-shore R1,77.4,1.37,33.33,1.371526,415,51.8,4430,samp_4309_concoct_613,This BioSample is a metagenomic assembly obtained from the lake watermetagenome BioSample:  SAMN41659672  (SRA SUB14491329)
