"","MAG","SampleID","Site","Domain_GTDB","Phylum_GTDB","Class_GTDB","Order_GTDB","Family_GTDB","Genus_GTDB","Species_GTDB","Completeness....","Contamination....","Strain.Heterogeneity....","Size..Mbp.","No..Of.Contigs","GC.Content....","N50","NCBI_Sample_Name","Domain_NCBI","Phylum_NCBI","Class_NCBI","Order_NCBI","Family_NCBI","Genus_NCBI","Species_NCBI","NCBI_Organism","BioProject","accession","year"
"131","samp_4319_concoct_648","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","SYAN01","",82.82,1.62,28.57,1.363065,298,54,7399,"SYAN01 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711635",2022
"132","samp_4319_concoct_650","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Casp-actino8","",87.65,1.6,25,2.795881,464,59.4,8765,"Casp-actino8 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711636",2022
"133","samp_4319_concoct_654","samp_4319","4. Soklo","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","UBA1268","RGVT01","",75.6,7.57,58.33,3.816888,1502,70,2791,"RGVT01 sp._LV_13_4. Soklo_2022","Bacteria","Planctomycetota","Planctomycetia",NA,NA,NA,NA,"Planctomycetia bacterium","PRJNA1119566","SAMN41711637",2022
"134","samp_4319_concoct_675","samp_4319","4. Soklo","Bacteria","Bacteroidota","Bacteroidia","UBA7662","UBA7662","SYHX01","",78.99,12.51,83.33,2.147882,1109,51,2036,"SYHX01 sp._LV_13_4. Soklo_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711638",2022
"135","samp_4319_concoct_685","samp_4319","4. Soklo","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","ELB16-189","",83.02,6.11,40.74,2.938382,1078,44.2,3209,"ELB16-189 sp._LV_13_4. Soklo_2022_1","Bacteria","Bacteroidota","Cytophagia","Cytophagales",NA,NA,NA,"Cytophagales bacterium","PRJNA1119566","SAMN41711639",2022
"136","samp_4319_concoct_711","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","BACL27 sp016870935",76.15,4.46,37.5,1.374599,623,58.4,2414,"BACL27 sp016870935_LV_13_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711640",2022
"137","samp_4319_concoct_717","samp_4319","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnohabitans_A","Limnohabitans_A sp009928125",94.68,3.91,37.5,2.523644,440,53.9,7376,"Limnohabitans_A sp009928125_LV_13_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria bacterium","PRJNA1119566","SAMN41711641",2022
"138","samp_4319_maxbin_381","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","MAG-120802","MAG-120802 sp016870855",78.68,16.25,19.23,0.789191,151,49,6245,"MAG-120802 sp016870855_LV_13_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711642",2022
"139","samp_4319_maxbin_488","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","MAG-120802","",77.07,16.97,17.46,1.559092,321,49,5769,"MAG-120802 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711643",2022
"140","samp_4319_metabat2_151","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","67-14","",86.06,2.33,60,1.558036,268,66.7,6925,"67-14 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711644",2022
"141","samp_4319_metabat2_159","samp_4319","4. Soklo","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","UBA967","",93.92,2.07,75,2.585992,370,58.4,9327,"UBA967 sp._LV_13_4. Soklo_2022","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA,"Spartobacteria bacterium","PRJNA1119566","SAMN41711645",2022
"142","samp_4319_metabat2_29","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","UBA8139","F1-20-MAGs160","",89.67,1.57,33.33,2.355302,357,67.9,8267,"F1-20-MAGs160 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota","Acidimicrobiia",NA,NA,NA,NA,"Acidimicrobiia bacterium","PRJNA1119566","SAMN41711646",2022
"143","samp_4319_metabat2_30","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA2093","",79.49,3.13,22.22,1.622458,326,56.6,5878,"UBA2093 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711647",2022
"144","samp_4319_metabat2_31","samp_4319","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnohabitans_A","",81.67,19.91,39.47,3.135711,649,65.3,5810,"Limnohabitans_A sp._LV_13_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans",NA,"Limnohabitans sp.","PRJNA1119566","SAMN41711648",2022
"145","samp_4319_metabat2_53","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","F1-60-MAGs163","",82.89,2.85,75,1.455764,283,71.2,6406,"F1-60-MAGs163 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711649",2022
"146","samp_4319_metabat2_58","samp_4319","4. Soklo","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","UBA961","UBA961","",77.16,2.4,71.43,1.800513,265,42.1,9329,"UBA961 sp._LV_13_4. Soklo_2022","Bacteria",NA,NA,NA,NA,NA,NA,"Unknown NA","PRJNA1119566","SAMN41711650",2022
"147","samp_4319_metabat2_77","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Casp-actino8","",86.95,5.51,27.27,2.168617,340,66.4,8209,"Casp-actino8 sp._LV_13_4. Soklo_2022_1","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711651",2022
"148","samp_4319_metabat2_83","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Thermoleophilia","Miltoncostaeales","Miltoncostaeaceae","SYFI01","",78.13,2.96,80,1.49422,346,71.5,4547,"SYFI01 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711652",2022
"149","samp_4319_metadecoder_868","samp_4319","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","UBA964","UBA964 sp016874175",83.75,0.97,33.33,2.197488,235,62.5,11651,"UBA964 sp016874175_LV_13_4. Soklo_2022","Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA,NA,"Gammaproteobacteria bacterium","PRJNA1119566","SAMN41711653",2022
"150","samp_4319_semibin_213","samp_4319","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","UBA3064","UBA3064 sp016868095",86,2.98,77.78,2.525284,389,53.2,7381,"UBA3064 sp016868095_LV_13_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria bacterium","PRJNA1119566","SAMN41711654",2022
"151","samp_4319_semibin_289","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA3006","",78.21,5.13,14.29,1.690974,227,62.8,9256,"UBA3006 sp._LV_13_4. Soklo_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae",NA,NA,"Ilumatobacteraceae bacterium","PRJNA1119566","SAMN41711655",2022
"152","samp_4319_semibin_331","samp_4319","4. Soklo","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","JJ008","",82.73,3.97,62.5,1.577814,239,48.8,8109,"JJ008 sp._LV_13_4. Soklo_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA,"Sphingomonadales bacterium","PRJNA1119566","SAMN41711656",2022
"153","samp_4319_VAMB_1049","samp_4319","4. Soklo","Bacteria","Chloroflexota","Anaerolineae","Anaerolineales","EnvOPS12","OLB14","",75.35,1.82,100,3.097721,361,49.8,10576,"OLB14 sp._LV_13_4. Soklo_2022","Bacteria","Chloroflexota","Anaerolineae",NA,NA,NA,NA,"Anaerolineae bacterium","PRJNA1119566","SAMN41711657",2022
"154","samp_4319_VAMB_1143","samp_4319","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA2093","",81.24,10.17,5.26,2.145856,549,68.7,6118,"UBA2093 sp._LV_13_4. Soklo_2022_1","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711658",2022
"155","samp_4319_VAMB_1190","samp_4319","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","RFPI01","RFPI01 sp009926205",75.2,1.63,11.11,1.074761,334,45.9,4387,"RFPI01 sp009926205_LV_13_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Methylophilaceae",NA,NA,"Methylophilaceae bacterium","PRJNA1119566","SAMN41711659",2022
"156","samp_4320_concoct_408","samp_4320","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter victoriensis",91.38,9.8,31.82,1.397268,499,43.6,3252,"Polynucleobacter victoriensis_LV_14_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter victoriensis","Polynucleobacter victoriensis","PRJNA1119566","SAMN41711660",2022
"157","samp_4320_concoct_409","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA3006","",79.06,2.99,50,1.518043,507,51.3,3923,"UBA3006 sp._LV_14_4. Soklo_2022","Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA,NA,"Actinomycetes bacterium","PRJNA1119566","SAMN41711661",2022
"158","samp_4320_concoct_449","samp_4320","4. Soklo","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","JACTMZ01","JACTMZ01","",77.03,20.85,89.58,2.57261,1265,61,2146,"JACTMZ01 sp._LV_14_4. Soklo_2022","Bacteria","Verrucomicrobiota","Spartobacteria","Chthoniobacterales",NA,NA,NA,"Chthoniobacterales bacterium","PRJNA1119566","SAMN41711662",2022
"159","samp_4320_concoct_474","samp_4320","4. Soklo","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA966","",81.1,9.36,60,2.34049,1002,72.1,2740,"UBA966 sp._LV_14_4. Soklo_2022","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerales bacterium","PRJNA1119566","SAMN41711663",2022
"160","samp_4320_concoct_487","samp_4320","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnohabitans_A","Limnohabitans_A sp009928125",82.75,5.05,32.26,2.133526,789,54,3194,"Limnohabitans_A sp009928125_LV_14_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria bacterium","PRJNA1119566","SAMN41711664",2022
"161","samp_4320_concoct_511","samp_4320","4. Soklo","Bacteria","Bacteroidota","Bacteroidia","UBA7662","UBA7662","SYHX01","",81.87,8.49,68.97,1.934696,930,51.4,2242,"SYHX01 sp._LV_14_4. Soklo_2022","Bacteria","Bacteroidota",NA,NA,NA,NA,NA,"Bacteroidota bacterium","PRJNA1119566","SAMN41711665",2022
"162","samp_4320_maxbin_297","samp_4320","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Fluviibacter","",83.44,2.33,71.43,1.488988,193,53.6,10488,"Fluviibacter sp._LV_14_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Rhodocyclales","Fluviibacteraceae","Fluviibacter",NA,"Fluviibacter sp.","PRJNA1119566","SAMN41711666",2022
"163","samp_4320_maxbin_298","samp_4320","4. Soklo","Bacteria","Proteobacteria","Alphaproteobacteria","CACIAM-22H2","CACIAM-22H2","Tagaea","",91.87,3.01,66.67,3.208747,520,66.9,8187,"Tagaea sp._LV_14_4. Soklo_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Tagaea",NA,"Tagaea sp.","PRJNA1119566","SAMN41711667",2022
"164","samp_4320_maxbin_313","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","70-9","67-14","",78.02,20.07,5.66,2.13148,637,65.5,3295,"67-14 sp._LV_14_4. Soklo_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711668",2022
"165","samp_4320_metabat2_112","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","F1-60-MAGs163","",78.68,1.64,40,1.400325,289,71.2,5647,"F1-60-MAGs163 sp._LV_14_4. Soklo_2022","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales",NA,NA,NA,"Solirubrobacterales bacterium","PRJNA1119566","SAMN41711669",2022
"166","samp_4320_metabat2_11","samp_4320","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","RFTU01","",83.39,3.95,71.43,2.112854,437,65.9,5551,"RFTU01 sp._LV_14_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria bacterium","PRJNA1119566","SAMN41711670",2022
"167","samp_4320_metabat2_95","samp_4320","4. Soklo","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","",91.91,4.43,72,2.714939,395,68,9071,"Phenylobacterium sp._LV_14_4. Soklo_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Phenylobacterium sp.","PRJNA1119566","SAMN41711671",2022
"168","samp_4320_metadecoder_671","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","Nanopelagicus","Nanopelagicus sp016870455",77.45,2.65,81.82,1.112194,104,42.4,16677,"Nanopelagicus sp016870455_LV_14_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711672",2022
"169","samp_4320_semibin_150","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","MAG-120802","MAG-120802 sp016870855",88.32,10.42,86.36,1.050939,207,48.4,5488,"MAG-120802 sp016870855_LV_14_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711673",2022
"170","samp_4320_semibin_195","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA2093","",76.51,2.14,66.67,1.733363,259,67.7,8144,"UBA2093 sp._LV_14_4. Soklo_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales",NA,NA,NA,"Acidimicrobiales bacterium","PRJNA1119566","SAMN41711674",2022
"171","samp_4320_VAMB_777","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","BACL27 sp016870935",75.04,8.37,43.75,1.495352,1419,58.5,1327,"BACL27 sp016870935_LV_14_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711675",2022
"172","samp_4320_VAMB_806","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","Nanopelagicaceae","MAG-120802","",75.86,16.38,75,1.388952,241,47.7,8303,"MAG-120802 sp._LV_14_4. Soklo_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711676",2022
"173","samp_4320_VAMB_830","samp_4320","4. Soklo","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","UBA3006","",77.59,0,0,1.507758,161,61.2,12593,"UBA3006 sp._LV_14_4. Soklo_2022_1","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711677",2022
"174","samp_4320_VAMB_953","samp_4320","4. Soklo","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","RFPI01","RFPI01 sp009926205",80.57,15.14,5.8,1.639043,1300,45.6,1564,"RFPI01 sp009926205_LV_14_4. Soklo_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Methylophilaceae",NA,NA,"Methylophilaceae bacterium","PRJNA1119566","SAMN41711678",2022
"175","samp_4321_concoct_291","samp_4321","2. Homa Bay Pier","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","PNKF01","PNKF01 sp016871915",79.31,18.13,42.42,2.042576,1159,69.1,1791,"PNKF01 sp016871915_LV_15_2. Homa Bay Pier_2022","Bacteria","Gemmatimonadota",NA,NA,NA,NA,NA,"Gemmatimonadota bacterium","PRJNA1119566","SAMN41711679",2022
"176","samp_4321_concoct_309","samp_4321","2. Homa Bay Pier","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","UBA1268","","",83.09,10.95,61.9,3.193722,1282,69.1,2855,"UBA1268 bacterium_LV_15_2. Homa Bay Pier_2022","Bacteria","Planctomycetota","Planctomycetia",NA,NA,NA,NA,"Planctomycetia bacterium","PRJNA1119566","SAMN41711680",2022
"177","samp_4321_concoct_325","samp_4321","2. Homa Bay Pier","Bacteria","Actinobacteriota","Actinomycetia","Nanopelagicales","S36-B12","Mxb001","",80.14,6.77,55,2.591784,997,67.9,3039,"Mxb001 sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711681",2022
"178","samp_4321_concoct_343","samp_4321","2. Homa Bay Pier","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA966","",84.84,2.94,75,2.420641,942,72.3,3126,"UBA966 sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerales bacterium","PRJNA1119566","SAMN41711682",2022
"179","samp_4321_concoct_348","samp_4321","2. Homa Bay Pier","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Rubrivivax","",80.11,6.92,42.86,3.585272,1645,68.1,2378,"Rubrivivax sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria bacterium","PRJNA1119566","SAMN41711683",2022
"180","samp_4321_concoct_393","samp_4321","2. Homa Bay Pier","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aestuariivirgaceae","Aestuariivirga","",96.37,0.43,66.67,3.459348,209,64.6,30873,"Aestuariivirga sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae",NA,NA,"Hyphomicrobiaceae bacterium","PRJNA1119566","SAMN41711684",2022
"181","samp_4321_metabat2_67","samp_4321","2. Homa Bay Pier","Bacteria","Bacteroidota","Kapabacteria","Kapabacteriales","Kapabacteriaceae","UBA10438","",86.78,1.64,33.33,2.031979,309,55.9,8125,"UBA10438 sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Candidatus Kapabacteria",NA,NA,NA,NA,NA,"Candidatus Kapabacteria bacterium","PRJNA1119566","SAMN41711685",2022
"182","samp_4321_metabat2_76","samp_4321","2. Homa Bay Pier","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Limnohabitans_A","",87.28,2.78,46.67,2.384346,438,63.1,6396,"Limnohabitans_A sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans",NA,"Limnohabitans sp.","PRJNA1119566","SAMN41711686",2022
"183","samp_4321_metadecoder_486","samp_4321","2. Homa Bay Pier","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","Limnocylindraceae","Limnocylindrus","",78.7,0.15,100,0.92852,124,62.5,8285,"Limnocylindrus sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Chloroflexota",NA,NA,NA,NA,NA,"Chloroflexota bacterium","PRJNA1119566","SAMN41711687",2022
"184","samp_4321_semibin_248","samp_4321","2. Homa Bay Pier","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","",84.2,1.55,77.78,2.315378,300,68.4,9470,"Phenylobacterium sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Phenylobacterium sp.","PRJNA1119566","SAMN41711688",2022
"185","samp_4321_VAMB_721","samp_4321","2. Homa Bay Pier","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","SXXK01","",77.17,7.08,30,5.482292,3648,58.8,1985,"SXXK01 sp._LV_15_2. Homa Bay Pier_2022","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae",NA,NA,"Planctomycetaceae bacterium","PRJNA1119566","SAMN41711689",2022
"186","samp_4322_concoct_112","samp_4322","2. Homa Bay Pier","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","UBA967","",82.32,1.73,50,2.291719,1049,58.4,2304,"UBA967 sp._LV_16_2. Homa Bay Pier_2022","Bacteria","Verrucomicrobiota","Spartobacteria",NA,NA,NA,NA,"Spartobacteria bacterium","PRJNA1119566","SAMN41711690",2022
"187","samp_4322_concoct_137","samp_4322","2. Homa Bay Pier","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","ELB16-189","",82.66,2.42,50,2.952371,1158,44.1,2965,"ELB16-189 sp._LV_16_2. Homa Bay Pier_2022","Bacteria","Bacteroidota","Cytophagia","Cytophagales",NA,NA,NA,"Cytophagales bacterium","PRJNA1119566","SAMN41711691",2022
"188","samp_4322_concoct_154","samp_4322","2. Homa Bay Pier","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","",83.9,14.51,90.48,1.761284,776,50.2,2675,"BACL27 sp._LV_16_2. Homa Bay Pier_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA,"Acidimicrobiaceae bacterium","PRJNA1119566","SAMN41711692",2022
"189","samp_4322_concoct_168","samp_4322","2. Homa Bay Pier","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Microcystis","Microcystis panniformis_A",98.79,1.24,55.56,5.518758,724,42.6,11220,"Microcystis panniformis_A_LV_16_2. Homa Bay Pier_2022_2","Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","Microcystis aeruginosa","Microcystis aeruginosa","PRJNA1119566","SAMN41711381",2022
"190","samp_4322_VAMB_308","samp_4322","2. Homa Bay Pier","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","F1-60-MAGs027","F1-60-MAGs027 sp016870295",76.25,20.23,78.12,2.159276,1985,62.5,1377,"F1-60-MAGs027 sp016870295_LV_16_2. Homa Bay Pier_2022","Bacteria","Actinomycetota",NA,NA,NA,NA,NA,"Actinomycetota bacterium","PRJNA1119566","SAMN41711693",2022
"191","samp_4322_VAMB_355","samp_4322","2. Homa Bay Pier","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","RFTU01","",75.86,4.31,100,2.193849,839,66.2,3444,"RFTU01 sp._LV_16_2. Homa Bay Pier_2022","Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA,NA,"Betaproteobacteria bacterium","PRJNA1119566","SAMN41711694",2022
"192","samp_4322_VAMB_390","samp_4322","2. Homa Bay Pier","Bacteria","Chloroflexota","Limnocylindria","Limnocylindrales","Limnocylindraceae","Limnocylindrus","",75.46,2.78,100,1.022962,350,62.8,4593,"Limnocylindrus sp._LV_16_2. Homa Bay Pier_2022","Bacteria","Chloroflexota",NA,NA,NA,NA,NA,"Chloroflexota bacterium","PRJNA1119566","SAMN41711695",2022
"193","samp_4323_concoct_169","samp_4323","3. Homa Bay Water Intake","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","SM1A02","UBA966","",77.21,3.34,75,2.106045,1042,72.3,2181,"UBA966 sp._LV_17_3. Homa Bay Water Intake_2022","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales",NA,NA,NA,"Phycisphaerales bacterium","PRJNA1119566","SAMN41711696",2022
"194","samp_4323_concoct_170","samp_4323","3. Homa Bay Water Intake","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","JJ008","",75.78,22.32,90.91,1.75127,891,48.8,2090,"JJ008 sp._LV_17_3. Homa Bay Water Intake_2022","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales",NA,NA,NA,"Sphingomonadales bacterium","PRJNA1119566","SAMN41711697",2022
"195","samp_4323_concoct_172","samp_4323","3. Homa Bay Water Intake","Bacteria","Actinobacteriota","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","BACL27","",85.9,17.95,87.5,1.925107,798,50.2,2758,"BACL27 sp._LV_17_3. Homa Bay Water Intake_2022","Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae",NA,NA,"Acidimicrobiaceae bacterium","PRJNA1119566","SAMN41711698",2022
